Customer_ID,Age,Gender,City,Marital_Status,Education,Occupation,Income,Preferred_Language,Preferred_Channel,Preferred_Time
HL00001,41,Male,Sheffield,Single,Associate Degree,Lawyer,18719.316,French,Email,Afternoon
HL00002,50,Female,Manchester,Married,Doctorate,Entrepreneur,59456.052,English,Email,Afternoon
HL00003,33,Female,London,Divorced,Doctorate,Lawyer,61078.656,Arabic,Email,Morning
HL00004,43,Male,Edinburgh,Married,Master's Degree,Lawyer,39333.528,English,Email,Evening
HL00005,36,Male,Liverpool,Separated,Bachelor's Degree,Nurse,25995.516,English,Mail,Evening
HL00006,45,Male,London,Separated,Doctorate,Lawyer,68193.276,Chinese,In-Person Meeting,Afternoon
HL00007,45,Male,Bristol,Widowed,Master's Degree,Lawyer,55142.52,English,Mail,Afternoon
HL00008,31,Female,Cardiff,Single,Associate Degree,Nurse,12648.504,Portuguese,Text,Anytime
HL00009,74,Male,Birmingham,Married,Bachelor's Degree,Entrepreneur,50547.432,English,Text,Evening
HL00010,49,Male,Stoke-on-Trent,Married,Doctorate,Artist,54920.592,English,Mail,Morning
HL00011,37,Male,Stoke-on-Trent,Divorced,Doctorate,Doctor,131151.96,Panjabi,Phone,Morning
HL00012,51,Female,London,Widowed,Bachelor's Degree,Artist,52221.456,English,Email,Evening
HL00013,20,Female,London,Single,Associate Degree,Teacher,20664.216,Portuguese,In-Person Meeting,Anytime
HL00014,42,Female,Manchester,Married,Bachelor's Degree,Lawyer,68108.688,English,In-Person Meeting,Morning
HL00015,42,Female,London,Widowed,Doctorate,Lawyer,43274.928,English,Text,Evening
HL00016,42,Male,Manchester,Divorced,Bachelor's Degree,Teacher,90483.168,English,Email,Afternoon
HL00017,28,Male,Liverpool,Divorced,Doctorate,Lawyer,100799.808,English,In-Person Meeting,Morning
HL00018,43,Male,London,Divorced,Bachelor's Degree,Engineer,88968.84,English,Email,Morning
HL00019,41,Female,Manchester,Widowed,Doctorate,Lawyer,47331.204,English,Text,Evening
HL00020,40,Male,Coventry,Single,Bachelor's Degree,Manager,106933.68,Panjabi,Phone,Morning
HL00021,54,Female,Liverpool,Widowed,Master's Degree,Manager,72317.868,Portuguese,Email,Anytime
HL00022,20,Female,Birmingham,Married,Bachelor's Degree,Entrepreneur,7628.8212,English,Text,Evening
HL00023,23,Male,Birmingham,Single,High School Diploma,Entrepreneur,22326.684,English,Phone,Morning
HL00024,31,Female,London,Divorced,High School Diploma,Lawyer,11224.8756,English,In-Person Meeting,Morning
HL00025,37,Male,Leicester,Single,Associate Degree,Nurse,106200.24,English,Email,Anytime
HL00026,47,Male,Coventry,Single,Doctorate,Engineer,111418.128,English,Email,Anytime
HL00027,52,Female,London,Married,Master's Degree,Entrepreneur,69165.624,English,Mail,Weekends
HL00028,46,Male,Liverpool,Divorced,Doctorate,Lawyer,138293.28,English,Email,Morning
