Policy_ID,Customer_ID,Product_ID,Purchase_Date,Premium,Coverage
P000008,HL00008,POL200008,5/4/2022,861.8327997,97928.79508
P000010,HL00010,POL200016,3/17/2022,1294.144416,100724.4988
P000015,HL00015,POL200017,5/19/2022,2470.369199,102937.5192
P000019,HL00019,POL200018,8/3/2022,2032.112144,98439.34626
P000022,HL00022,POL200015,5/24/2023,1156.180369,101259.3751
P000027,HL00027,POL200010,6/4/2023,1480.305955,100891.6656
P000030,HL00030,POL200018,9/4/2023,1873.120053,100105.0208
P000031,HL00031,POL200015,4/18/2022,2306.940709,100757.8787
P000034,HL00034,POL200017,12/10/2022,1937.659345,96448.72748
P000037,HL00037,POL200000,7/5/2022,2475.243974,101216.1155
P000040,HL00040,POL200001,12/23/2023,1787.398382,104363.5762
P000044,HL00044,POL200005,7/14/2022,1563.033361,102473.4206
P000045,HL00045,POL200006,10/13/2022,1859.092122,101053.5454
P000047,HL00047,POL200012,2/25/2024,1880.443448,102257.4739
P000050,HL00050,POL200006,10/24/2022,1535.172391,101969.722
P000053,HL00053,POL200018,5/16/2023,1592.26983,98620.02786
P000057,HL00057,POL200015,12/30/2023,2013.520059,101767.3238
P000058,HL00058,POL200002,5/20/2023,2501.755704,99032.43679
P000059,HL00059,POL200001,3/3/2023,1833.220345,97881.09396
P000060,HL00060,POL200003,12/22/2022,2067.327024,96695.98641
P000063,HL00063,POL200011,7/20/2023,1942.734396,100223.5491
P000064,HL00064,POL200008,8/11/2023,1742.195749,101938.105
P000069,HL00069,POL200006,2/6/2022,1623.708927,103901.3708
P000070,HL00070,POL200004,4/14/2023,2205.175256,103247.722
P000072,HL00072,POL200003,3/3/2022,2371.077263,98738.55301
P000077,HL00077,POL200009,4/23/2023,1408.761287,101909.7859
P000079,HL00079,POL200001,4/1/2023,1029.539159,101196.1298
P000081,HL00081,POL200017,8/29/2022,2045.999757,97880.55222
P000082,HL00082,POL200006,3/23/2023,2717.664802,102844.0661
P000087,HL00087,POL200002,6/23/2022,1610.08008,101607.3245
P000093,HL00093,POL200004,9/1/2023,1599.439475,98582.47202
P000095,HL00095,POL200008,9/4/2023,2025.346143,97048.48302
P000096,HL00096,POL200016,10/12/2023,2451.017087,104954.3815
P000098,HL00098,POL200017,2/1/2024,1316.591811,99092.13205
P000099,HL00099,POL200010,11/10/2023,1916.689742,96724.7537
P000102,HL00102,POL200008,8/6/2023,2134.585552,102175.8973
P000103,HL00103,POL200004,11/22/2022,2094.695681,105105.8007
P000106,HL00106,POL200017,1/20/2023,2188.914717,100784.6751
P000107,HL00107,POL200006,11/6/2023,1016.26671,102759.8801
P000110,HL00110,POL200005,9/14/2022,1689.829119,102313.5535
P000113,HL00113,POL200018,1/18/2023,1518.813642,100945.4573
P000117,HL00117,POL200001,12/17/2022,1513.480831,100119.1776
P000118,HL00118,POL200018,10/7/2023,2598.679367,97656.41829
P000120,HL00120,POL200009,5/7/2022,2303.09235,101197.6925
P000124,HL00124,POL200018,12/31/2022,1659.232079,101604.9508
P000125,HL00125,POL200016,1/3/2023,1930.152933,100744.6845
P000129,HL00129,POL200010,11/11/2022,2614.6112,97218.90372
P000130,HL00130,POL200000,9/2/2022,1620.994132,96175.77976
P000138,HL00138,POL200015,7/27/2022,1939.711679,100503.4245
P000145,HL00145,POL200001,3/26/2024,1706.760079,100992.2806
P000148,HL00148,POL200008,5/20/2023,2104.393417,99631.19369
P000153,HL00153,POL200003,11/1/2022,1764.913169,98945.35383
P000154,HL00154,POL200001,6/29/2023,1734.507355,99422.78816
P000156,HL00156,POL200017,6/24/2023,2333.548257,101619.6521
P000157,HL00157,POL200011,3/7/2023,2132.613955,100131.5957
P000159,HL00159,POL200015,12/9/2023,1544.445837,102883.8385
P000160,HL00160,POL200003,12/24/2023,1479.957874,104139.8555
P000161,HL00161,POL200001,6/13/2022,2064.958123,98777.40465
P000167,HL00167,POL200015,5/31/2023,2140.538623,103009.9605
P000174,HL00174,POL200018,2/8/2023,2107.243214,99046.95248
P000180,HL00180,POL200011,4/12/2023,1735.510604,101249.9922
P000196,HL00196,POL200016,11/18/2022,1281.970749,101795.2826
P000199,HL00199,POL200015,6/15/2023,1327.666476,97892.05395
P000203,HL00203,POL200010,1/24/2023,2047.057564,98878.48831
P000205,HL00205,POL200018,9/7/2023,1552.71855,96389.86839
P000207,HL00207,POL200009,5/7/2023,1759.444883,101107.6515
P000208,HL00208,POL200015,3/6/2022,1578.903864,98638.2235
P000210,HL00210,POL200010,11/20/2023,1758.345193,100729.3829
P000219,HL00219,POL200004,10/1/2022,2221.410235,100998.7138
P000223,HL00223,POL200016,10/3/2022,2079.751642,97995.6377
P000225,HL00225,POL200008,6/14/2022,2372.506754,102071.5667
P000227,HL00227,POL200016,11/19/2022,1521.189028,99234.3965
P000228,HL00228,POL200004,2/13/2023,1946.117014,102034.4655
P000231,HL00231,POL200006,7/9/2023,2411.072876,99923.2561
P000233,HL00233,POL200012,4/22/2023,1838.962691,100907.546
P000234,HL00234,POL200018,11/18/2023,2408.938434,98053.61295
P000236,HL00236,POL200004,2/12/2024,1638.678101,98882.47288
P000237,HL00237,POL200002,9/4/2022,1406.346288,97629.20465
P000250,HL00250,POL200009,7/8/2022,1798.897586,100397.3687
P000251,HL00251,POL200002,2/12/2023,1802.568533,99976.05924
P000255,HL00255,POL200007,3/5/2024,1426.049669,97131.4435
P000256,HL00256,POL200015,2/10/2022,1608.554435,95576.52376
P000258,HL00258,POL200006,8/24/2023,2293.060335,99782.84729
P000261,HL00261,POL200000,3/1/2022,2640.408011,104423.3617
P000266,HL00266,POL200016,2/17/2022,1450.389247,99792.8133
P000270,HL00270,POL200018,7/22/2022,2734.766331,101801.7075
P000271,HL00271,POL200016,1/21/2023,1556.140373,100341.3702
P000272,HL00272,POL200017,6/23/2023,1833.339185,100005.0255
P000278,HL00278,POL200006,3/20/2023,2452.996126,99852.07708
